Item,450701238,450818976,450818977,450800832,450801110,450800175,424582395,424570573,450812520,424504541,424572731,424560033,424562533,450802490
Description,GANCHO ESTIRA TEJ GALV 3/8  x  8,SELLADOR S-28 SILIC NEGRO   50 GR,MECHA EZETA COLA CONICA 18.25 MM,MARTILLO 2235 CHAPISTA DIAM 35,PALANQ  LAMINADA 1010  50.80 MM,MENSULA DOBLE BLANCA 170 MM,MECHA EZETA CILIND TITANIO 10.50 MM,CADENA ENGANCHE N. 6 HO BRONCEADO,PALANQ  LAMINADA 1045  63.50 MM,MACHO URANGA A/ALEADO M 22 x 1.50,MECHA NEIKE WIDIA LARGA 400 14 MM,CLAVO CAJ PULIDO FRACC  15- 50,MENSULA DOBLE ALUM   270 MM,ABRAZ AMERICANA 3011/5 120 - 135 MM
Unit,PZ,PZ,PZ,PZ,PZ,PZ,PZ,CJ,PZ,PZ,PZ,PZ,PZ,PZ
Cost,0.01,0.01,0.01,0.1,0.21,0.23,0.25,0.38,0.4,0.44,0.48,0.51,0.52,0.62
